Output Areas Code,HHD_dep_education_PC,HHD_dep_employment_PC,HHD_dep_health_PC,HHD_dep_housing_PC
E00053572,0.45180722891566266,0.39759036144578314,0.4759036144578313,0.10240963855421686
E00053573,0.33986928104575165,0.20261437908496732,0.37254901960784315,0.06535947712418301
E00053574,0.3541666666666667,0.18620689655172415,0.4513888888888889,0.06944444444444445
E00053575,0.3310344827586207,0.1724137931034483,0.3310344827586207,0.11724137931034483
E00053576,0.25547445255474455,0.16058394160583941,0.427536231884058,0.08029197080291971
E00053577,0.26666666666666666,0.2388888888888889,0.4044943820224719,0.08333333333333333
E00053578,0.3262411347517731,0.1347517730496454,0.2765957446808511,0.2127659574468085
E00053579,0.2625,0.20625,0.31875,0.15625
E00053580,0.26865671641791045,0.13740458015267176,0.42748091603053434,0.0916030534351145
E00053581,0.3458646616541353,0.13533834586466165,0.3684210526315789,0.09774436090225563
E00053582,0.36363636363636365,0.21374045801526717,0.4772727272727273,0.14393939393939395
E00053583,0.2620689655172414,0.2222222222222222,0.38620689655172413,0.1310344827586207
E00053584,0.3630952380952381,0.2155688622754491,0.4642857142857143,0.20238095238095238
E00053585,0.37894736842105264,0.23404255319148937,0.5106382978723404,0.22340425531914893
E00053586,0.39097744360902253,0.2706766917293233,0.3787878787878788,0.2932330827067669
E00053587,0.4036697247706422,0.3119266055045872,0.3853211009174312,0.1743119266055046
E00053588,0.46296296296296297,0.3888888888888889,0.5092592592592593,0.23853211009174313
E00053589,0.41975308641975306,0.2822085889570552,0.4382716049382716,0.13580246913580246
E00053590,0.4111111111111111,0.32967032967032966,0.4725274725274725,0.3333333333333333
E00053591,0.44755244755244755,0.4125874125874126,0.5034965034965035,0.16083916083916083
E00053592,0.297029702970297,0.27722772277227725,0.297029702970297,0.39603960396039606
E00053593,0.3565217391304348,0.2905982905982906,0.452991452991453,0.27350427350427353
E00053594,0.37790697674418605,0.3815028901734104,0.49710982658959535,0.09826589595375723
E00053595,0.3445378151260504,0.29411764705882354,0.36134453781512604,0.325
E00053596,0.3356643356643357,0.3055555555555556,0.3263888888888889,0.3263888888888889
E00053597,0.29850746268656714,0.2835820895522388,0.47761194029850745,0.3805970149253731
E00053598,0.4296875,0.2265625,0.3023255813953488,0.3023255813953488
E00053599,0.3028169014084507,0.23943661971830985,0.3142857142857143,0.2733812949640288
E00053600,0.366412213740458,0.2824427480916031,0.4580152671755725,0.3282442748091603
E00053602,0.3262411347517731,0.2949640287769784,0.381294964028777,0.3237410071942446
E00053603,0.3360655737704918,0.25,0.575,0.15254237288135594
E00053604,0.26153846153846155,0.2076923076923077,0.453125,0.19696969696969696
E00053605,0.2231404958677686,0.11666666666666667,0.35,0.07627118644067797
E00053606,0.26119402985074625,0.21052631578947367,0.45864661654135336,0.13533834586466165
E00053607,0.31007751937984496,0.3488372093023256,0.5271317829457365,0.17692307692307693
E00053608,0.26865671641791045,0.22388059701492538,0.4264705882352941,0.21641791044776118
E00053609,0.2328767123287671,0.18493150684931506,0.3150684931506849,0.13013698630136986
E00053610,0.1721311475409836,0.21951219512195122,0.4628099173553719,0.1721311475409836
E00053611,0.3106060606060606,0.13076923076923078,0.36363636363636365,0.08333333333333333
E00053612,0.2,0.26666666666666666,0.475,0.25
E00053613,0.265625,0.2713178294573643,0.3984375,0.1875
E00053614,0.31690140845070425,0.21830985915492956,0.38028169014084506,0.11888111888111888
E00053616,0.32456140350877194,0.20535714285714285,0.415929203539823,0.18421052631578946
E00053617,0.37606837606837606,0.23076923076923078,0.37606837606837606,0.09401709401709402
E00053618,0.23893805309734514,0.25862068965517243,0.3893805309734513,0.23008849557522124
E00053621,0.18461538461538463,0.14615384615384616,0.32061068702290074,0.16153846153846155
E00053622,0.3288590604026846,0.2953020134228188,0.4899328859060403,0.14093959731543623
E00053623,0.37341772151898733,0.17088607594936708,0.37341772151898733,0.23417721518987342
E00053624,0.3188405797101449,0.26811594202898553,0.391304347826087,0.2608695652173913
E00053625,0.27049180327868855,0.2459016393442623,0.4016393442622951,0.4098360655737705
E00053626,0.21311475409836064,0.2644628099173554,0.3902439024390244,0.20491803278688525
E00053627,0.2689655172413793,0.2925170068027211,0.3931034482758621,0.13793103448275862
E00053629,0.3197278911564626,0.21768707482993196,0.3741496598639456,0.19047619047619047
